sex,age,Pstatus,Mjob,Fjob,reason,studytime,failures,famsup,activities,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,CGPA,risk
M,20,T,services,teacher,home,1,0,0,0,1,0,5,2,3,1,2,5,4,8.3,0
M,19,T,teacher,other,home,1,0,1,1,1,0,3,3,4,3,5,3,8,5.67,0
F,20,T,services,teacher,home,1,1,1,0,1,0,4,2,4,2,3,2,24,8.28,0
F,19,T,teacher,teacher,reputation,2,0,1,0,1,0,4,5,2,1,2,3,0,5.43,0
F,19,T,health,other,home,2,0,1,1,1,0,4,3,5,1,5,2,2,6.58,0
F,19,T,other,other,reputation,2,0,1,1,0,0,4,4,3,1,3,4,6,5.83,0
F,20,T,other,other,course,2,0,1,0,0,0,4,4,4,1,3,1,4,5.51,0
F,20,T,other,other,reputation,1,0,1,0,1,0,5,3,2,1,2,3,18,3.85,1
F,19,T,services,services,reputation,4,0,1,1,1,0,5,3,5,1,1,5,6,5.62,0
F,20,T,at_home,services,home,3,1,1,0,1,1,4,4,3,3,4,5,28,5.2,1
F,19,A,services,other,course,2,3,1,0,1,0,2,3,3,2,2,4,5,4.42,1
F,19,T,teacher,other,other,2,0,0,1,1,1,1,3,2,1,1,1,10,5.62,0
F,19,T,at_home,other,home,1,0,1,0,0,0,4,3,2,1,4,5,6,5.37,0
F,20,T,teacher,other,reputation,3,0,1,1,1,1,4,4,2,1,1,4,6,5.35,1
F,22,T,other,other,reputation,4,0,1,1,1,0,4,3,3,1,2,3,10,5.24,1
M,20,T,services,other,home,2,0,1,0,1,1,5,3,5,4,5,3,13,5.84,0
F,19,A,other,other,reputation,2,0,1,0,1,0,3,3,4,1,1,4,0,6.96,0
M,21,T,services,other,home,2,1,1,1,1,0,4,4,4,2,4,5,15,4.36,1
F,20,T,services,other,other,1,0,1,0,0,0,5,2,1,1,2,3,12,5.84,0
F,20,T,other,other,reputation,2,0,0,0,1,0,4,4,4,1,3,1,2,6.63,0
F,20,T,other,other,reputation,2,2,0,0,1,1,3,4,5,2,4,1,22,4.84,1
M,21,T,services,health,home,2,1,1,0,1,0,3,2,4,2,4,4,13,4.81,1
F,20,T,at_home,other,home,1,0,1,0,0,0,3,3,3,1,4,3,3,4.99,1
F,20,T,at_home,at_home,course,3,0,1,1,1,0,4,3,3,1,1,4,4,4.52,0
F,20,T,at_home,services,reputation,2,0,1,1,1,0,4,2,5,1,2,5,2,4.24,1
F,20,T,at_home,other,reputation,3,1,1,1,0,1,4,3,4,1,1,5,0,4.38,1
F,19,T,services,teacher,other,2,0,0,0,1,0,2,3,1,1,1,3,2,7.3,0
M,21,T,other,other,home,2,0,1,0,1,0,3,3,3,5,5,4,0,6.1,0
F,19,T,teacher,services,home,3,0,1,1,1,0,5,3,2,1,1,5,0,6.35,0
F,21,T,other,other,reputation,2,1,0,1,1,1,5,3,3,1,1,4,16,5.01,1
F,20,T,other,other,course,2,0,0,1,1,0,5,3,4,1,3,3,10,7.11,0
M,20,T,services,services,reputation,2,0,1,0,1,0,5,3,3,1,3,3,2,5.75,0
M,21,T,at_home,other,course,2,0,1,1,1,1,4,3,2,4,5,3,14,5.03,1
F,20,A,other,other,course,3,0,0,1,1,1,3,2,3,1,2,3,10,6.51,0
F,20,T,health,other,reputation,2,0,0,1,1,1,3,2,3,1,2,3,14,5.89,0
M,20,T,other,other,course,2,0,1,1,1,0,4,5,2,1,1,1,4,5.26,0
M,20,T,teacher,teacher,reputation,2,0,1,1,1,1,4,5,5,1,3,2,14,5.51,1
M,19,T,health,other,reputation,2,0,1,1,1,0,4,2,4,2,4,1,2,6.42,0
M,19,T,other,other,home,2,0,1,0,1,0,3,4,2,1,1,5,18,4.43,1
M,19,T,at_home,other,reputation,3,0,0,1,1,1,5,3,3,1,3,2,10,5.45,0
M,20,T,other,other,home,2,0,0,1,1,1,4,4,2,5,5,4,4,6.65,0
F,19,T,other,other,home,1,0,0,0,1,1,4,5,2,1,1,5,20,5.53,0
F,20,T,at_home,services,course,2,0,0,1,0,0,2,1,1,1,1,3,2,6.75,0
M,21,T,other,services,reputation,2,1,0,0,1,0,5,5,4,3,5,2,0,3.1,1
M,20,T,health,other,course,2,0,0,1,1,1,2,5,5,1,4,5,14,7.24,0
M,20,A,teacher,other,course,2,0,1,0,1,0,3,3,3,2,3,4,2,5.42,0
M,19,T,teacher,other,course,1,0,0,1,1,0,5,4,5,1,1,3,0,2.82,1
M,19,T,services,services,course,1,0,0,1,1,0,5,3,2,1,2,5,0,6.85,0
F,21,T,other,other,course,3,0,1,0,1,1,4,4,4,1,1,3,0,3.55,1
M,19,T,other,other,course,1,0,0,0,1,0,4,3,3,1,1,4,6,7.74,0
M,20,T,other,other,course,1,0,0,0,1,0,5,2,2,1,1,2,4,6.32,0
M,25,T,services,services,other,1,3,0,0,1,1,5,4,5,5,5,1,16,5.07,1
M,21,T,other,services,course,2,1,1,0,1,1,4,3,3,1,3,5,8,3.26,1
M,19,T,other,other,other,1,0,0,0,1,0,4,3,2,2,4,5,0,6.63,0
M,21,T,services,other,course,1,1,0,0,1,0,4,4,5,2,4,5,0,5.7,1
M,19,T,at_home,other,reputation,2,0,1,0,1,0,5,3,3,1,3,2,6,4.66,0
M,21,T,services,services,other,1,1,0,0,1,0,3,2,5,2,5,5,4,5.17,1
M,19,T,other,other,course,1,0,0,1,0,0,3,3,2,1,3,3,0,4.56,1
M,20,T,other,other,course,1,0,0,0,1,0,4,4,2,2,4,5,0,4.96,0
M,20,T,health,other,course,1,1,1,1,1,0,4,4,4,1,2,5,2,3.85,1
F,20,T,teacher,services,reputation,4,0,1,1,1,0,4,2,3,1,1,4,6,5.23,0
M,22,A,services,at_home,reputation,2,0,1,0,1,0,4,3,1,1,1,1,12,5.03,0
M,21,T,other,other,home,2,0,0,1,1,0,5,2,4,1,2,4,8,7.15,0
F,20,T,services,services,course,4,0,0,1,1,1,3,4,1,1,1,2,0,4.08,1
F,21,T,services,other,home,2,0,1,0,1,1,3,1,2,1,3,2,21,7.36,0
M,21,T,teacher,other,course,2,0,1,0,1,0,4,3,2,1,1,3,2,5.16,1
M,21,T,other,other,course,3,0,0,1,0,0,5,3,2,1,1,3,1,5.3,0
F,20,T,other,other,home,3,0,0,1,0,0,3,2,3,1,1,4,4,4.26,1
F,21,T,at_home,services,home,3,0,1,1,1,1,4,3,3,1,1,3,0,4.02,1
M,21,A,other,other,reputation,2,0,1,1,1,0,4,2,5,3,4,1,13,7.95,0
M,20,T,services,other,other,2,0,0,1,1,1,5,4,4,3,4,5,2,5.84,0
F,21,T,teacher,other,reputation,2,0,0,1,1,0,4,3,4,2,2,4,8,6.42,0
M,21,T,health,other,reputation,2,0,1,1,1,1,5,4,5,1,3,5,10,5.37,0
F,21,T,other,other,reputation,2,0,1,0,1,1,4,3,5,1,2,3,0,3.84,1
F,22,T,other,services,home,2,2,1,1,1,0,4,3,5,3,3,5,15,5.82,1
F,21,T,other,services,reputation,4,0,1,1,1,1,4,5,5,1,3,2,4,6.45,0
F,21,T,other,other,home,2,0,1,0,0,0,4,4,3,1,1,3,2,6.19,0
M,20,T,at_home,at_home,home,2,0,1,1,0,1,3,5,2,2,2,1,2,6.38,0
F,20,T,at_home,health,reputation,2,0,1,0,1,1,4,3,3,1,1,1,2,4.92,0
F,20,T,services,other,course,2,0,1,0,1,1,4,4,4,2,3,5,6,5.76,0
F,21,A,other,services,home,2,0,0,0,1,1,4,1,1,1,1,5,75,6.13,1
M,21,T,teacher,services,home,1,0,0,1,1,0,3,2,4,1,4,3,22,4.88,1
F,21,T,health,health,reputation,2,1,1,1,1,1,2,4,4,1,1,4,15,4.84,1
M,21,T,teacher,services,course,1,0,0,1,1,0,4,2,3,1,2,1,8,4.32,0
M,20,A,services,other,home,1,0,0,1,1,1,4,5,4,2,4,5,30,4.38,1
M,20,A,teacher,services,home,1,1,0,0,1,0,4,4,4,3,4,3,19,5.3,0
F,21,T,at_home,other,reputation,4,0,1,1,0,0,5,2,2,1,1,3,1,4.91,0
F,21,T,other,other,home,2,0,0,1,1,0,5,4,4,1,1,4,4,4.73,0
F,20,T,other,other,course,2,0,1,0,1,0,5,4,5,1,2,5,4,4.3,0
M,20,T,other,other,reputation,2,0,0,0,1,0,4,3,3,1,2,4,2,5.96,0
F,21,T,at_home,at_home,other,3,0,1,0,1,0,4,3,3,1,2,2,5,7.75,0
F,20,T,services,teacher,reputation,3,0,1,0,1,0,4,3,3,1,1,3,6,5.53,0
M,21,T,services,services,reputation,3,0,0,1,1,0,4,2,4,1,3,2,6,6.68,0
M,21,A,teacher,teacher,reputation,2,0,1,1,1,0,5,4,3,1,1,2,9,7.37,0
M,21,T,teacher,other,home,2,0,1,1,1,1,4,3,2,1,4,5,11,5.42,0
F,20,T,health,services,reputation,3,0,1,0,1,0,4,2,2,1,2,3,0,6.48,0
F,21,T,services,at_home,reputation,2,1,0,0,1,1,5,4,3,1,1,5,12,6.15,0
F,20,T,services,other,reputation,4,0,1,0,0,0,3,1,2,1,1,3,6,7.65,0
M,21,T,services,other,reputation,3,0,1,1,1,0,5,4,2,1,1,4,8,6.34,0
M,20,T,health,other,home,1,0,1,0,1,0,4,4,3,1,3,5,4,6.21,0
F,22,T,health,other,reputation,2,0,1,1,1,0,2,3,4,2,3,2,0,5.41,1
F,21,T,other,other,home,2,0,1,0,1,1,4,4,5,1,2,2,10,4.55,1
F,21,T,other,other,reputation,4,0,1,0,1,0,4,3,3,1,1,3,0,6.19,0
M,21,T,teacher,teacher,home,1,0,1,0,1,1,1,4,2,2,2,1,5,6.8,0
F,21,A,health,other,home,2,0,1,0,1,1,4,2,4,1,1,4,14,6.42,0
M,20,T,other,teacher,home,1,0,0,0,1,0,4,1,1,2,2,5,0,5.24,0
F,20,T,other,other,reputation,3,0,1,0,1,0,4,3,3,1,1,3,0,6.18,0
F,20,T,health,health,reputation,4,0,1,1,1,0,5,2,2,1,2,5,0,7.74,0
M,22,T,other,other,home,2,1,1,1,1,1,4,4,4,1,1,3,20,6.51,0
F,21,T,services,at_home,reputation,2,1,1,1,1,0,4,4,3,1,1,3,8,5.3,0
M,23,A,services,other,course,1,0,0,1,0,0,5,5,3,1,1,5,0,8.36,0
M,22,T,teacher,services,reputation,1,1,1,0,1,1,4,3,4,1,1,4,38,5.01,1
M,22,T,other,services,reputation,2,1,0,1,0,1,4,5,3,1,2,5,0,6,0
F,22,T,at_home,other,reputation,2,1,1,1,1,0,4,4,3,1,3,3,18,5.61,0
F,22,T,services,services,home,2,1,0,1,0,1,4,2,4,2,2,3,0,3.67,1
F,22,T,at_home,other,other,2,0,1,0,1,1,3,4,1,1,1,2,20,6.17,0
M,22,T,other,services,course,2,1,0,0,1,0,4,5,2,2,2,4,3,6.83,0
F,22,T,services,other,reputation,2,1,1,0,1,1,4,2,2,1,2,1,22,6.03,0
F,22,T,at_home,health,home,3,2,0,0,1,1,4,1,2,1,1,3,14,7.58,0
F,22,T,other,other,reputation,3,1,0,0,1,1,4,1,2,1,1,3,40,6.43,0
F,21,T,services,other,course,2,0,1,1,1,0,5,3,3,1,2,1,0,5.06,1
F,21,T,other,other,course,3,0,1,1,1,1,4,3,4,1,1,5,9,5.29,1
F,20,T,at_home,services,course,3,0,1,1,1,0,4,3,4,2,5,5,0,5.26,0
F,21,T,teacher,other,course,2,0,1,0,1,0,4,4,4,3,3,5,2,5.65,0
F,20,A,services,services,course,2,0,1,0,1,1,5,2,2,1,2,5,23,6.5,0
F,20,T,other,other,course,2,0,1,0,0,1,4,2,2,1,1,3,12,5.9,1
F,20,T,services,services,course,3,0,1,1,1,0,3,3,2,2,2,3,3,5.02,0
F,20,T,services,services,course,3,0,1,0,1,0,3,4,3,2,3,5,1,5.98,0
F,20,T,at_home,at_home,home,3,0,0,0,1,0,3,3,3,2,3,2,0,6.48,0
M,21,T,other,other,course,3,0,0,1,1,0,4,3,3,2,2,3,3,5.35,0
M,20,T,other,services,reputation,1,0,0,1,1,0,4,3,5,3,5,5,3,7.03,0
M,20,T,services,other,course,1,0,1,0,1,0,4,4,5,5,5,4,8,6.79,0
F,20,T,teacher,services,course,3,0,1,1,1,0,5,4,4,1,3,4,7,5.43,1
F,20,T,teacher,teacher,course,3,0,1,0,1,1,4,3,3,1,2,4,4,6.67,0
M,21,T,other,other,course,4,0,1,1,1,0,4,5,5,2,4,5,2,5.24,1
F,20,T,at_home,other,course,3,0,1,0,1,1,4,4,3,1,1,5,7,6.36,0
F,21,T,services,services,home,2,0,0,1,1,0,5,3,4,1,1,4,0,4.78,1
F,21,T,other,other,home,2,0,0,1,1,1,4,3,3,1,1,2,0,4.52,1
F,21,T,at_home,other,course,4,0,0,1,0,0,4,4,4,1,1,4,0,5.09,1
F,20,T,services,other,course,3,0,0,0,1,0,4,4,5,1,3,5,16,8.05,0
F,22,A,services,at_home,home,3,1,0,0,0,0,5,4,3,1,2,5,12,7.2,0
F,20,T,other,other,home,2,0,1,0,1,1,4,3,2,2,3,2,0,5.45,1
F,21,T,services,services,home,4,0,1,0,1,0,5,3,3,1,1,1,7,8.61,0
F,20,A,other,other,home,2,0,1,0,1,0,4,3,3,2,3,2,4,6,0
F,22,T,services,services,home,3,1,0,1,1,1,4,3,4,1,3,3,4,6.44,0
M,21,T,teacher,services,home,2,1,1,1,1,0,4,3,3,2,2,2,0,4.88,1
M,21,T,services,other,home,2,0,0,1,1,1,4,3,3,1,3,5,11,7.26,0
F,20,A,at_home,at_home,home,2,1,1,0,1,1,3,3,1,1,2,4,0,5.38,1
F,21,T,at_home,other,course,3,0,1,0,1,0,4,3,3,1,2,3,4,6.88,0
F,21,T,other,services,other,3,0,0,0,1,1,5,4,3,2,3,1,7,6.97,0
M,21,T,teacher,services,course,3,0,0,0,1,1,5,3,2,1,2,4,9,7.12,0
M,21,T,teacher,other,course,3,0,1,0,1,1,5,4,5,2,3,5,0,4.28,1
F,20,T,health,other,reputation,3,0,1,1,1,1,4,4,3,1,3,4,0,7.56,0
M,21,T,other,other,course,1,1,1,0,1,0,2,5,5,5,5,5,10,7.5,0
M,22,T,other,services,home,2,3,0,0,1,0,5,4,4,3,3,2,8,4.36,1
M,20,T,health,other,course,2,0,1,0,1,0,4,5,4,2,3,3,2,6.88,0
M,21,T,at_home,services,course,1,1,0,0,1,1,4,3,3,2,3,3,7,4.44,1
M,22,T,other,other,home,1,1,1,0,1,0,4,4,4,3,3,5,4,4.53,1
M,20,T,services,other,home,2,0,1,1,1,1,4,5,5,1,3,2,4,6.11,0
F,21,T,services,services,course,2,0,1,0,0,1,5,3,4,1,1,5,0,5.34,1
F,20,T,teacher,services,other,2,0,1,1,1,0,4,3,3,1,2,5,4,7.1,0
F,20,A,services,other,reputation,2,0,0,0,0,1,1,2,3,1,2,5,2,6.67,0
M,21,T,other,services,home,1,0,0,0,1,1,3,3,2,1,2,3,4,5.68,0
F,21,T,at_home,services,course,3,0,0,0,1,0,5,3,2,1,1,4,0,8.07,0
F,21,A,at_home,other,course,2,0,0,0,0,1,4,3,4,1,4,5,0,6.32,0
M,21,T,at_home,other,other,2,1,0,1,0,0,4,4,3,2,3,5,2,5.69,0
F,21,T,services,services,other,2,0,1,0,1,1,4,3,2,1,3,3,0,5.63,0
F,20,T,at_home,at_home,course,2,0,1,1,1,1,2,3,4,1,1,1,0,6.94,0
F,20,T,other,services,course,2,0,0,0,0,0,3,2,2,1,2,3,0,6.66,0
M,21,T,at_home,other,course,2,0,1,0,0,0,3,3,4,2,4,3,4,6.23,0
M,21,T,teacher,services,other,3,0,0,0,1,1,4,2,2,2,2,5,0,6.33,0
F,20,T,other,services,reputation,1,1,1,0,1,1,5,2,1,1,2,1,0,4,1
F,21,T,at_home,services,course,1,0,1,0,1,1,5,2,3,1,2,4,0,4.91,0
F,21,T,other,teacher,other,2,0,1,0,1,1,3,2,2,4,2,5,10,5.67,0
F,22,T,services,services,home,2,2,0,1,0,1,3,2,2,1,1,3,4,3.98,1
M,21,T,at_home,services,other,1,0,1,1,1,1,4,3,3,2,3,3,3,5.69,0
F,20,T,other,at_home,home,3,0,0,1,0,1,3,4,3,1,1,3,8,6.21,0
F,20,T,other,other,course,1,0,0,1,1,0,3,5,5,1,3,1,14,3.91,1
F,21,T,other,other,reputation,3,0,0,0,1,0,5,4,4,1,1,1,0,9.01,0
F,21,T,other,other,home,3,0,0,0,1,0,4,3,2,1,2,4,2,5.65,0
F,23,T,health,other,course,3,2,1,0,1,1,5,4,3,1,1,3,4,7.17,0
F,21,T,teacher,services,course,2,0,0,1,1,0,5,4,3,3,4,2,4,5.52,0
F,21,T,other,other,home,2,0,0,0,1,1,4,1,3,1,2,1,0,8.04,0
F,20,T,at_home,other,reputation,2,0,1,1,1,0,4,5,4,2,3,1,17,5.08,0
M,21,T,teacher,teacher,home,2,0,0,1,1,0,3,2,4,1,4,2,4,6.76,0
M,21,T,other,other,other,1,0,0,1,1,1,4,4,3,1,3,5,5,5.19,1
M,20,T,other,services,home,2,0,0,1,1,0,4,4,3,1,1,3,2,5.48,0
M,22,T,other,services,other,1,1,0,0,0,0,4,3,2,1,3,5,0,3.6,1
M,21,T,other,other,home,1,1,0,0,0,0,5,4,3,4,3,3,14,3.83,1
F,21,T,at_home,other,other,3,0,0,0,0,0,5,3,3,1,3,4,2,4.82,0
F,21,T,teacher,at_home,reputation,1,0,1,1,1,1,4,4,3,2,2,5,7,5.01,1
F,22,T,services,other,course,3,1,0,1,1,0,5,4,2,1,2,5,0,4.47,1
F,21,T,teacher,services,course,2,0,1,0,1,0,4,3,4,1,1,1,0,4.7,1
F,21,T,other,other,course,2,1,0,1,0,0,1,1,1,1,1,5,0,3.36,1
M,23,A,services,services,course,2,2,1,0,0,0,5,5,4,4,5,4,11,5.58,1
M,20,T,services,services,course,1,0,0,0,1,0,2,4,5,3,4,2,3,7.03,0
M,24,T,other,other,course,1,3,0,0,0,0,5,5,3,3,3,3,3,5.3,1
M,21,T,services,other,course,1,0,0,0,1,0,4,4,1,3,4,5,0,6.27,0
M,22,T,other,at_home,course,1,0,0,0,1,0,3,2,3,3,3,5,5,5.73,1
